rule,length,complexity,train_fitness,train_excess_sharpe,train_sharpe,val_fitness,val_excess_sharpe,val_sharpe,val_sharpe_bh,val_fitness_raw,n_episodes_val,max_episode_val,n_episodes_train_val,val_half1_excess_sharpe,val_half2_excess_sharpe,stable,holdout_fitness,holdout_excess_sharpe,holdout_sharpe,holdout_sharpe_bh,null_pvalue,null_n,selected_on,drop_reason
~asp_moon_sun_square_orb1,1,2,-0.0695980545857429,-0.0495980545857429,0.4530346359762775,-0.009012238154738044,0.010987761845261956,0.4034281907433868,0.39244042889812486,-0.009012238154738044,57,376,130,-0.05269028779434348,0.06164104564242795,False,-0.052659565544710726,-0.03265956554471072,0.7226285217544317,0.7552880872991424,,,validation,
asp_mars_venus_trine_orb3,1,1,-0.3144715784450281,-0.3044715784450281,0.19816111211699233,-0.009762753265249549,0.00023724673475045144,0.3926776756328753,0.39244042889812486,-0.009762753265249549,19,10,48,0.06851098959873614,-0.12181305104831439,False,-0.4402329922916302,-0.4302329922916302,0.32505509500751223,0.7552880872991424,,,validation,
~mars_ingress_3d,1,2,-0.21339980929972371,-0.19339980929972372,0.3092328812622967,-0.010159393235009456,0.009840606764990545,0.4022810356631154,0.39244042889812486,-0.010159393235009456,104,138,278,0.13791156817826844,-0.09188739798957336,False,-0.050538349761243925,-0.03053834976124392,0.7247497375378985,0.7552880872991424,,,validation,
~asp_jupiter_mercury_square_orb3,1,2,-0.04873347940800697,-0.028733479408006968,0.47389921115401346,-0.010649122795658921,0.00935087720434108,0.40179130610246594,0.39244042889812486,-0.010649122795658921,39,159,97,0.01679188038772228,0.00037354114731261157,True,-0.037759248057894865,-0.01775924805789486,0.7375288392412476,0.7552880872991424,,,validation,
asp_mars_uranus_trine_orb5,1,1,-0.6344007155416685,-0.6244007155416685,-0.12176802497964813,-0.010810791138532774,-0.0008107911385327737,0.3916296377595921,0.39244042889812486,-0.010810791138532774,18,44,46,-0.19611190306440668,0.1772610469851142,False,-0.9331324285653614,-0.9231324285653614,-0.16784434126621894,0.7552880872991424,,,validation,
~asp_jupiter_mars_square_orb1,1,2,-0.08187694935834687,-0.06187694935834687,0.44075574120367356,-0.011148217508774743,0.008851782491225257,0.4012922113893501,0.39244042889812486,-0.011148217508774743,15,350,42,0.008372822418255654,0.0096031758113653,True,-0.05091181472822613,-0.030911814728226128,0.7243762725709163,0.7552880872991424,,,validation,
~asp_pluto_sun_sextile_orb1,1,2,-0.05143693507318524,-0.031436935073185235,0.4711957554888352,-0.011546232950169915,0.008453767049830085,0.40089419594795495,0.39244042889812486,-0.011546232950169915,25,336,66,-0.03230981235914998,0.03955664243340154,False,-0.02145176104245859,-0.001451761042458588,0.7538363262566838,0.7552880872991424,,,validation,
~asp_sun_uranus_trine_orb3,1,2,-0.10300250231601325,-0.08300250231601325,0.4196301882460072,-0.011883500011165542,0.008116499988834458,0.4005569288869593,0.39244042889812486,-0.011883500011165542,31,168,81,0.07919152728914591,-0.04926311728958491,False,0.008342422343725859,0.02834242234372586,0.7836305096428683,0.7552880872991424,,,validation,
~asp_mars_uranus_sextile_orb3,1,2,-0.05559989305344486,-0.03559989305344485,0.46703279750857557,-0.012125898017529706,0.007874101982470294,0.40031453088059515,0.39244042889812486,-0.012125898017529706,20,379,47,0.024310529138182435,-8.687999936024537e-05,False,-0.018730939757665693,0.0012690602423343078,0.7565571475414767,0.7552880872991424,,,validation,
~asp_saturn_venus_conj_orb5,1,2,-0.012938695109676029,0.007061304890323972,0.5096939954523444,-0.012392128020523401,0.007607871979476599,0.40004830087760146,0.39244042889812486,-0.012392128020523401,18,289,44,0.018838128185817538,0.0007662152182739135,True,-0.012135856829024388,0.007864143170975613,0.763152230470118,0.7552880872991424,,,validation,
~mars_ingress_5d,1,2,-0.22313685644911033,-0.20313685644911034,0.2994958341129101,-0.012434775830029204,0.007565224169970797,0.40000565306809566,0.39244042889812486,-0.012434775830029204,104,136,278,0.11765419315868253,-0.08440137800086986,False,-0.14197290883040478,-0.12197290883040479,0.6333151784687376,0.7552880872991424,,,validation,
~asp_moon_pluto_trine_orb1,1,2,-0.056956250245593684,-0.03695625024559368,0.46567644031642674,-0.013016821282849016,0.006983178717150984,0.39942360761527584,0.39244042889812486,-0.013016821282849016,38,237,110,-0.0305129465154258,0.03479414762463173,False,-0.04912806860972117,-0.02912806860972117,0.7261600186894213,0.7552880872991424,,,validation,
~asp_saturn_sun_conj_orb1,1,2,-0.019921380005637906,7.861999436209466e-05,0.5027113105563825,-0.014384316816940784,0.005615683183059217,0.3980561120811841,0.39244042889812486,-0.014384316816940784,16,261,37,0.0031766024015448258,0.0076792561967220785,True,-0.013046373227876145,0.006953626772123855,0.7622417140712663,0.7552880872991424,,,validation,
~asp_saturn_sun_conj_orb3,1,2,0.02027767546451455,0.04027767546451455,0.542910366026535,-0.014751518982074035,0.0052484810179259656,0.3976889099160508,0.39244042889812486,-0.014751518982074035,16,259,40,0.02694068863530763,-0.01066711920769764,False,-0.01142723305501257,0.008572766944987431,0.7638608542441299,0.7552880872991424,,,validation,
~asp_mercury_neptune_conj_orb3,1,2,-0.023887425508679543,-0.003887425508679543,0.4987452650533409,-0.015482371773724728,0.004517628226275272,0.39695805712440013,0.39244042889812486,-0.015482371773724728,20,247,52,-0.010417393070842329,0.015645639954714297,False,-0.03054278059856817,-0.010542780598568169,0.7447453067005743,0.7552880872991424,,,validation,
~asp_uranus_venus_opp_orb5,1,2,-0.05424136078202589,-0.03424136078202589,0.46839132977999454,-0.015628050112700114,0.004371949887299886,0.39681237878542475,0.39244042889812486,-0.015628050112700114,16,280,42,0.016445568597955873,-0.003766142337657652,False,-0.020923435532585893,-0.0009234355325858923,0.7543646517665565,0.7552880872991424,,,validation,
~asp_pluto_venus_trine_orb5,1,2,-0.11885210028704356,-0.09885210028704355,0.40378059027497687,-0.015822092576281848,0.004177907423718152,0.396618336321843,0.39244042889812486,-0.015822092576281848,34,210,86,0.1280673647107864,-0.07554862968281556,False,-0.14022562758610643,-0.12022562758610644,0.635062459713036,0.7552880872991424,,,validation,
~asp_jupiter_mars_square_orb5,1,2,-0.0951420257417833,-0.0751420257417833,0.4274906648202371,-0.015871453894898673,0.004128546105101327,0.3965689750032262,0.39244042889812486,-0.015871453894898673,15,343,43,0.0012875194933397172,0.006643503330474615,True,-0.14422350537124526,-0.12422350537124527,0.6310645819278972,0.7552880872991424,,,validation,
~asp_mars_neptune_sextile_orb5,1,2,-0.03289356385313662,-0.012893563853136614,0.4897391267088838,-0.016099840546842086,0.0039001594531579142,0.3963405883512828,0.39244042889812486,-0.016099840546842086,17,373,43,0.050452675296568605,-0.031063906851740514,False,0.016897107957212127,0.03689710795721213,0.7921851952563546,0.7552880872991424,,,validation,
~asp_neptune_sun_conj_orb1,1,2,-0.02492367221328155,-0.004923672213281549,0.4977090183487389,-0.01616398101237147,0.003836018987628531,0.3962764478857534,0.39244042889812486,-0.01616398101237147,16,254,35,-0.009927622751322196,0.0147312669616749,False,-0.06309029044313029,-0.043090290443130286,0.7121977968560121,0.7552880872991424,,,validation,
~jupiter_ingress_3d,1,2,-0.025002409204429015,-0.005002409204429015,0.4976302813575914,-0.01626364530457956,0.0037363546954204407,0.3961767835935453,0.39244042889812486,-0.01626364530457956,17,270,56,-0.04613705582479255,0.04367894555213625,False,-0.0007306486549508544,0.019269351345049146,0.7745574386441916,0.7552880872991424,,,validation,
~asp_mercury_neptune_square_orb1,1,2,-0.04664600895114206,-0.026646008951142053,0.47598668161087837,-0.01670595088232772,0.003294049117672282,0.39573447801579714,0.39244042889812486,-0.01670595088232772,31,391,78,-0.021119916855029564,0.02180214082978693,False,-0.049557680923190114,-0.02955768092319011,0.7257304063759523,0.7552880872991424,,,validation,
~venus_sign_virgo,1,2,0.017402735600605807,0.03740273560060581,0.5400354261626262,-0.016933452284350874,0.003066547715649126,0.395506976613774,0.39244042889812486,-0.016933452284350874,18,266,46,-0.06924757419394822,0.06091913886420691,False,-0.07143827255121037,-0.05143827255121036,0.7038498147479321,0.7552880872991424,,,validation,
~asp_sun_uranus_trine_orb1,1,2,-0.059933065157275076,-0.03993306515727507,0.46269962540474535,-0.017354264211484265,0.002645735788515735,0.3950861646866406,0.39244042889812486,-0.017354264211484265,25,286,68,0.031405335300406234,-0.020961142479500816,False,0.007460367464175683,0.027460367464175683,0.7827484547633181,0.7552880872991424,,,validation,
~asp_neptune_venus_square_orb1,1,2,-0.046784577603050645,-0.02678457760305064,0.4758481129589698,-0.017695916915662063,0.002304083084337938,0.3947445119824628,0.39244042889812486,-0.017695916915662063,26,383,68,0.006656272380043626,-0.0014928238176034891,False,-0.09690087725035156,-0.07690087725035155,0.6783872100487909,0.7552880872991424,,,validation,
~asp_pluto_sun_square_orb5,1,2,-0.11976228297057877,-0.09976228297057876,0.40287040759144166,-0.017992386114188446,0.0020076138858115544,0.3944480427839364,0.39244042889812486,-0.017992386114188446,31,121,80,0.13567966671496456,-0.10315525666837487,False,-0.08338417643122241,-0.0633841764312224,0.69190391086792,0.7552880872991424,,,validation,
~asp_neptune_sun_square_orb1,1,2,-0.03882447307320745,-0.01882447307320745,0.483808217488813,-0.018193069212857887,0.0018069307871421136,0.394247359685267,0.39244042889812486,-0.018193069212857887,23,252,67,-0.014975561420972672,0.014711746270379716,False,-0.016153535405589264,0.0038464645944107367,0.7591345518935532,0.7552880872991424,,,validation,
~asp_mercury_uranus_conj_orb5,1,2,0.01837510282498624,0.03837510282498624,0.5410077933870067,-0.018462261921723993,0.0015377380782760075,0.39397816697640087,0.39244042889812486,-0.018462261921723993,21,246,53,0.047130361109064434,-0.032893470926071144,False,-0.06598376541355676,-0.045983765413556754,0.7093043218855857,0.7552880872991424,,,validation,
~asp_mars_sun_sextile_orb3,1,2,-0.07858869653576121,-0.05858869653576121,0.4440439940262592,-0.018490127779338655,0.0015098722206613457,0.3939503011187862,0.39244042889812486,-0.018490127779338655,15,297,38,-0.03922975173858856,0.0350186814716576,False,0.02686110915066355,0.04686110915066355,0.802149196449806,0.7552880872991424,,,validation,
~asp_mars_neptune_square_orb1,1,2,0.01829976915537725,0.03829976915537725,0.5409324597173977,-0.018549343971387394,0.001450656028612607,0.39389108492673747,0.39244042889812486,-0.018549343971387394,21,323,47,-0.05246487954312884,0.043602966634577606,False,-0.04252343516612732,-0.022523435166127315,0.7327646521330151,0.7552880872991424,,,validation,
~asp_mercury_moon_trine_orb1,1,2,-0.07758590780831152,-0.05758590780831152,0.4450467827537089,-0.018784784132313086,0.001215215867686914,0.3936556447658118,0.39244042889812486,-0.018784784132313086,48,299,113,0.024373436976118157,-0.016575346145860093,False,-0.09919060325832062,-0.07919060325832061,0.6760974840408218,0.7552880872991424,,,validation,
~asp_saturn_venus_trine_orb1,1,2,-0.061830358217609724,-0.04183035821760972,0.4608023323444107,-0.01900107699921875,0.0009989230007812488,0.3934393518989061,0.39244042889812486,-0.01900107699921875,28,285,72,0.0003158747106103421,0.003083045153863956,True,-0.01738377881831153,0.0026162211816884717,0.7579043084808309,0.7552880872991424,,,validation,
~asp_pluto_venus_conj_orb3,1,2,-0.010265837997392873,0.009734162002607127,0.5123668525646276,-0.019062965087618716,0.0009370349123812849,0.39337746381050614,0.39244042889812486,-0.019062965087618716,17,283,43,-0.05977341629432398,0.046506221692675986,False,-0.053311138063094385,-0.03331113806309438,0.721976949236048,0.7552880872991424,,,validation,
~asp_jupiter_mercury_trine_orb3,1,2,-0.1184696046296405,-0.0984696046296405,0.40416308593237993,-0.019678798508913447,0.0003212014910865535,0.3927616303892114,0.39244042889812486,-0.019678798508913447,32,217,91,-0.017842506405377545,0.01490895393705402,False,-0.09514038435345538,-0.07514038435345538,0.680147702945687,0.7552880872991424,,,validation,
~asp_mars_venus_sextile_orb1,1,2,-0.02804795913295109,-0.008047959132951088,0.49458473142906934,-0.019810031312353742,0.00018996868764625807,0.3926303975857711,0.39244042889812486,-0.019810031312353742,21,339,52,-0.044283252710783816,0.0331066283261299,False,-0.06125611834452892,-0.041256118344528914,0.7140319689546135,0.7552880872991424,,,validation,
~asp_jupiter_venus_conj_orb5,1,2,-0.020658524782307435,-0.0006585247823074347,0.501974165779713,-0.020275030539311328,-0.00027503053931132726,0.39216539835881353,0.39244042889812486,-0.020275030539311328,15,305,43,0.05265659731457728,-0.0454113697749019,False,-0.06798852696670342,-0.047988526966703415,0.707299560332439,0.7552880872991424,,,validation,
~asp_pluto_sun_sextile_orb5,1,2,-0.045150430292240515,-0.02515043029224051,0.4774822602697799,-0.02063678000672235,-0.0006367800067223484,0.3918036488914025,0.39244042889812486,-0.02063678000672235,31,165,80,-0.07981265183146213,0.06080641288599292,False,-0.004666494711299634,0.015333505288700366,0.7706215925878428,0.7552880872991424,,,validation,
~asp_mercury_uranus_trine_orb1,1,2,-0.021352575993914918,-0.0013525759939149173,0.5012801145681055,-0.020954186016049408,-0.0009541860160494076,0.39148624288207545,0.39244042889812486,-0.020954186016049408,31,325,76,0.043314836018657266,-0.035058992974600245,False,-0.04878963214949582,-0.028789632149495814,0.7264984551496466,0.7552880872991424,,,validation,
~asp_mercury_uranus_square_orb3,1,2,-0.053432218437867926,-0.03343221843786792,0.4692004721241525,-0.02144269636701838,-0.0014426963670183812,0.3909977325311065,0.39244042889812486,-0.02144269636701838,38,143,99,0.027290544431059605,-0.022459377828630195,False,-0.07995021852003513,-0.059950218520035126,0.6953378687791073,0.7552880872991424,,,validation,
venus_sign_gemini,1,1,-0.2296349865401222,-0.2196349865401222,0.2829977040218982,-0.021512411403330982,-0.01151241140333098,0.3809280174947939,0.39244042889812486,-0.021512411403330982,15,86,43,-0.1413996921367301,0.05494756813948254,False,-0.3573222989218432,-0.3473222989218432,0.40796578837729924,0.7552880872991424,,,validation,
~asp_jupiter_sun_sextile_orb1,1,2,-0.027928409698963246,-0.007928409698963246,0.4947042808630572,-0.021777183666290206,-0.0017771836662902052,0.39066324523183465,0.39244042889812486,-0.021777183666290206,27,278,68,-0.03749243161097715,0.026766571145891788,False,-0.02411945220077603,-0.00411945220077603,0.7511686350983664,0.7552880872991424,,,validation,
asp_mars_uranus_opp_orb3,1,1,-0.5991221727541255,-0.5891221727541255,-0.08648948219210505,-0.021844993023132135,-0.011844993023132133,0.3805954358749927,0.39244042889812486,-0.021844993023132135,7,7,24,-0.2318528257692829,0.15853365011943354,False,-0.5038912216401126,-0.49389122164011257,0.26139686565902986,0.7552880872991424,,,validation,
~asp_jupiter_mercury_trine_orb1,1,2,-0.07124860222519878,-0.05124860222519878,0.45138408833682164,-0.022310460741138665,-0.0023104607411386646,0.3901299681569862,0.39244042889812486,-0.022310460741138665,26,298,72,0.02235092645436454,-0.02173891184335891,False,-0.0613480185492412,-0.041348018549241194,0.7139400687499012,0.7552880872991424,,,validation,
~asp_mars_neptune_trine_orb3,1,2,0.011891548513389156,0.031891548513389156,0.5345242390754096,-0.02317475944011164,-0.003174759440111641,0.3892656694580132,0.39244042889812486,-0.02317475944011164,20,360,47,0.024755371199306264,-0.023597183941445943,False,-0.014892553374886357,0.005107446625113643,0.7603955339242561,0.7552880872991424,,,validation,
~asp_sun_uranus_opp_orb5,1,2,-0.07261975927721347,-0.05261975927721346,0.45001293128480696,-0.023907072671326173,-0.003907072671326173,0.3885333562267987,0.39244042889812486,-0.023907072671326173,16,250,41,0.02747939984775427,-0.029990164240065675,False,-0.032875542460465076,-0.012875542460465073,0.7424125448386774,0.7552880872991424,,,validation,
