rule,length,complexity,train_fitness,train_excess_sharpe,train_sharpe,val_fitness,val_excess_sharpe,val_sharpe,val_sharpe_bh,holdout_fitness,holdout_excess_sharpe,holdout_sharpe,holdout_sharpe_bh,null_pvalue,null_n,selected_on
~asp_jupiter_mars_conj & ~asp_jupiter_venus_square,2,5,-0.148379777318484,-0.09837977731848402,0.4042529132435364,0.04667225858568817,0.09667225858568818,0.48911268748381304,0.39244042889812486,-0.0720498965098307,-0.02204989650983069,0.7332381907893117,0.7552880872991424,,,validation
~mercury_station & venus_retro,2,4,-0.8455211332899162,-0.8055211332899161,-0.30288844272789567,0.04662986729438299,0.08662986729438299,0.47907029619250785,0.39244042889812486,-1.0421051534908503,-1.0021051534908503,-0.24681706619170793,0.7552880872991424,,,validation
~asp_jupiter_sun_square & ~venus_sign_cancer,2,5,-0.08292740441417142,-0.03292740441417141,0.469705286147849,0.0464678577891388,0.0964678577891388,0.48890828668726366,0.39244042889812486,-0.16957166396389795,-0.11957166396389796,0.6357164233352445,0.7552880872991424,,,validation
~mars_sign_leo & ~mars_sign_taurus,2,5,-0.09810723202322448,-0.04810723202322448,0.45452545853879595,0.046206535974023286,0.09620653597402329,0.48864696487214815,0.39244042889812486,-0.14720461833807125,-0.09720461833807126,0.6580834689610712,0.7552880872991424,,,validation
~asp_jupiter_sun_square & ~asp_jupiter_venus_conj,2,5,-0.10797292797443343,-0.05797292797443343,0.444659762587587,0.04611965347344109,0.09611965347344109,0.48856008237156595,0.39244042889812486,-0.1437740946253317,-0.0937740946253317,0.6615139926738107,0.7552880872991424,,,validation
asp_jupiter_saturn_square & ~mercury_retro,2,4,-0.5176752980139416,-0.4776752980139416,0.0249573925480788,0.0459442361848734,0.0859442361848734,0.47838466508299826,0.39244042889812486,-0.757785966446839,-0.717785966446839,0.03750212085230338,0.7552880872991424,,,validation
~asp_jupiter_sun_opp & ~asp_jupiter_sun_square,2,5,-0.03494893268617878,0.01505106731382122,0.5176837578758416,0.04574866156670958,0.09574866156670958,0.48818909046483444,0.39244042889812486,-0.12957832833064747,-0.07957832833064749,0.675709758968495,0.7552880872991424,,,validation
~mars_sign_cancer & ~mars_sign_leo,2,5,-0.09584215812344145,-0.045842158123441445,0.456790532438579,0.0457154147041917,0.0957154147041917,0.48815584360231656,0.39244042889812486,-0.015697065918272537,0.034302934081727465,0.7895910213808699,0.7552880872991424,,,validation
~mercury_sign_cancer & ~mercury_sign_gemini,2,5,-0.08735517061213978,-0.037355170612139776,0.46527751994988065,0.04553018553054754,0.09553018553054754,0.4879706144286724,0.39244042889812486,-0.1941070825146783,-0.1441070825146783,0.6111810047844641,0.7552880872991424,,,validation
~jupiter_sign_gemini & ~venus_sign_scorpio,2,5,-0.06746617523870242,-0.01746617523870242,0.485166515323318,0.04537689518214248,0.09537689518214248,0.48781732408026734,0.39244042889812486,-0.22547133366267574,-0.17547133366267575,0.5798167536364667,0.7552880872991424,,,validation
~asp_jupiter_venus_trine & ~venus_sign_scorpio,2,5,-0.07736144513074807,-0.027361445130748063,0.47527124543127236,0.045370292608946636,0.09537029260894664,0.4878107215070715,0.39244042889812486,-0.15800635083218323,-0.10800635083218324,0.6472817364669592,0.7552880872991424,,,validation
~asp_saturn_sun_sextile & ~jupiter_sign_capricorn,2,5,-0.09080083653241029,-0.04080083653241029,0.46183185402961013,0.045302564702335055,0.09530256470233506,0.4877429936004599,0.39244042889812486,-0.02632608933529053,0.023673910664709474,0.7789619979638519,0.7552880872991424,,,validation
~sun_sign_virgo & ~venus_sign_scorpio,2,5,-0.04232397456578636,0.00767602543421364,0.5103087159962341,0.045140667268966914,0.09514066726896692,0.4875810961670918,0.39244042889812486,-0.14215443892036744,-0.09215443892036745,0.663133648378775,0.7552880872991424,,,validation
~mercury_sign_gemini & ~venus_sign_scorpio,2,5,-0.0027798784828175355,0.04722012151718247,0.5498528120792029,0.045102543075972654,0.09510254307597266,0.4875429719740975,0.39244042889812486,-0.20753667513563318,-0.1575366751356332,0.5977514121635092,0.7552880872991424,,,validation
~asp_jupiter_venus_conj & ~venus_sign_sagittarius,2,5,-0.10592456699577658,-0.05592456699577658,0.44670812356624384,0.04505177845468704,0.09505177845468704,0.4874922073528119,0.39244042889812486,-0.17808282439559936,-0.12808282439559937,0.6272052629035431,0.7552880872991424,,,validation
~jupiter_sign_capricorn & mars_sign_virgo,2,4,-0.61603940860801,-0.57603940860801,-0.07340671804598957,0.04500095067972019,0.08500095067972019,0.47744137957784505,0.39244042889812486,-0.3014350897589391,-0.26143508975893914,0.4938529975402033,0.7552880872991424,,,validation
~mars_sign_sagittarius & mercury_sign_taurus,2,4,-0.4144138453891624,-0.37441384538916245,0.12821884517285798,0.044853081174192545,0.08485308117419255,0.4772935100723174,0.39244042889812486,-0.998535007865655,-0.9585350078656549,-0.20324692056651245,0.7552880872991424,,,validation
~jupiter_sign_gemini & mercury_sign_taurus,2,4,-0.47248709084838325,-0.43248709084838327,0.07014559971363715,0.044853081174192545,0.08485308117419255,0.4772935100723174,0.39244042889812486,-1.0274399805971488,-0.9874399805971488,-0.23215189329800634,0.7552880872991424,,,validation
~asp_jupiter_venus_square & ~mars_sign_cancer,2,5,-0.17287733440529274,-0.12287733440529275,0.3797553561567277,0.04467666134559299,0.094676661345593,0.48711709024371785,0.39244042889812486,0.025400184282024882,0.07540018428202488,0.8306882715811673,0.7552880872991424,,,validation
~asp_saturn_venus_sextile & venus_retro,2,4,-0.7364394149661512,-0.6964394149661511,-0.19380672440413074,0.04458675858328374,0.08458675858328374,0.4770271874814086,0.39244042889812486,-0.977160909812354,-0.937160909812354,-0.18187282251321155,0.7552880872991424,,,validation
~asp_jupiter_venus_square & mars_sign_pisces,2,4,-0.22843560770261115,-0.18843560770261114,0.3141970828594093,0.044429062227098616,0.08442906222709862,0.4768694911252235,0.39244042889812486,-0.8420248139766386,-0.8020248139766386,-0.04673672667749619,0.7552880872991424,,,validation
~asp_mars_venus_sextile,1,2,-0.044035004095106065,-0.02403500409510606,0.47859768646691436,0.044336408990756485,0.06433640899075649,0.45677683788888135,0.39244042889812486,-0.08722055828854046,-0.06722055828854046,0.688067529010602,0.7552880872991424,,,validation
~mars_sign_leo & ~mars_sign_scorpio,2,5,-0.11230959109189938,-0.062309591091899375,0.44032309947012105,0.04430235451599761,0.09430235451599761,0.48674278341412247,0.39244042889812486,-0.18934799938207408,-0.1393479993820741,0.6159400879170683,0.7552880872991424,,,validation
~mercury_station & ~sun_sign_virgo,2,5,-0.2093214398227996,-0.15932143982279962,0.3433112507392208,0.04405087820181085,0.09405087820181085,0.4864913070999357,0.39244042889812486,0.03991522414611341,0.08991522414611341,0.8452033114452558,0.7552880872991424,,,validation
~asp_mars_venus_sextile & ~mercury_station,2,5,-0.2193549842181866,-0.16935498421818662,0.3332777063438338,0.044023199279268996,0.094023199279269,0.48646362817739386,0.39244042889812486,-0.00035812568135625,0.04964187431864375,0.8049299616177862,0.7552880872991424,,,validation
~mars_sign_taurus & ~sun_sign_libra,2,5,0.053577890972122996,0.103577890972123,0.6062105815341434,0.04400564743214129,0.09400564743214129,0.48644607633026615,0.39244042889812486,-0.205100543600451,-0.155100543600451,0.6001875436986914,0.7552880872991424,,,validation
~saturn_sign_gemini & ~sun_sign_virgo,2,5,-0.05639344153273003,-0.0063934415327300265,0.4962392490292904,0.04377349734438672,0.09377349734438672,0.4862139262425116,0.39244042889812486,-0.05622993770142966,-0.006229937701429655,0.7490581495977128,0.7552880872991424,,,validation
~asp_jupiter_venus_conj & ~asp_mars_venus_sextile,2,5,-0.07828881346559798,-0.028288813465597973,0.47434387709642245,0.0437734097820766,0.0937734097820766,0.48621383868020146,0.39244042889812486,-0.1605158282289753,-0.11051582822897532,0.6447722590701671,0.7552880872991424,,,validation
~asp_jupiter_venus_conj & jupiter_sign_sagittarius,2,4,-0.15862079710721091,-0.1186207971072109,0.3840118934548095,0.0435512875521478,0.0835512875521478,0.47599171645027266,0.39244042889812486,-0.6398268497481752,-0.5998268497481751,0.15546123755096733,0.7552880872991424,,,validation
~asp_jupiter_sun_square & ~asp_saturn_sun_sextile,2,5,-0.12033048318286656,-0.07033048318286655,0.43230220737915387,0.043434878604529145,0.09343487860452915,0.485875307502654,0.39244042889812486,-0.05768946000597393,-0.007689460005973925,0.7475986272931685,0.7552880872991424,,,validation
