rule,side,length,complexity,val_avg_R,val_total_R,val_n_trades,val_fitness,val_fitness_raw,val_pf,val_win_rate,val_sharpe,val_max_dd,n_episodes_val,max_episode_val,val_half1_avg_R,val_half2_avg_R,stable,train_avg_R,train_n_trades,holdout_avg_R,holdout_total_R,holdout_n_trades,holdout_pf,holdout_win_rate,holdout_sharpe,holdout_max_dd,null_pvalue,null_n,drop_reason,selected_on
asp_mercury_pluto_conj_orb3 & ~venus_sign_sagittarius,short,2,4,0.4304610184432915,12.913830553298745,30,0.30397229773607354,0.32397229773607356,2.30890987203881,0.6333333333333333,0.7739823094467478,-0.014927362071072037,5,8,0.49430127890480763,-0.04767260810759657,False,-0.1536289737390062,58,-0.026348890227217182,-0.9222111579526013,35.0,0.9481525841787878,0.37142857142857144,-0.04222947827099334,-0.029926161904929915,0.008995502248875561,2000.0,,validation
sun_sign_virgo,short,1,1,0.34234512524562144,10.270353757368643,30,0.3023451252456214,0.3223451252456214,2.097306237926124,0.5666666666666667,,,5,22,0.3390476241249477,0.34564262636629534,True,0.14380622625849862,62,,,,,,,,,,,validation
asp_mars_mercury_conj_orb5 & ~asp_moon_pluto_conj_orb1,long,2,4,0.38895468255290855,15.558187302116341,40,0.3022880158862419,0.30895468255290853,2.1449179323964365,0.525,,,8,16,0.6990525250242933,0.07885684008152352,True,0.014135323215636222,92,,,,,,,,,,,validation
asp_mars_mercury_conj_orb3 & ~asp_mars_neptune_trine_orb3,long,2,4,0.39676632156505015,13.490054933211706,34,0.3020996548983835,0.31676632156505014,2.175214713555082,0.5294117647058824,,,7,12,0.6149445349631207,0.2245203636192048,True,-0.06096286496257799,100,,,,,,,,,,,validation
~mercury_sign_taurus & ~venus_sign_aries,long,2,5,0.4017211592773774,18.077452167481983,45,0.3017211592773774,0.3017211592773774,2.2082199273173604,0.6444444444444445,,,9,234,0.3295752152780623,0.5460130472760075,True,-0.07147562161235345,96,,,,,,,,,,,validation
~asp_mars_pluto_trine_orb3 & asp_mars_saturn_trine_orb5,short,2,4,0.39486926517277726,13.820424281047204,35,0.30153593183944394,0.31486926517277725,2.0385275104512237,0.5714285714285714,,,6,11,0.40056504620361827,0.3872748904649894,True,-0.028101439883565924,58,,,,,,,,,,,validation
~asp_neptune_sun_sextile_orb5 & venus_sign_aries,short,2,4,0.39343684333959117,14.163726360225281,36,0.30143684333959114,0.31343684333959115,2.062767244297312,0.6111111111111112,,,7,39,0.35516330261271967,0.48042216317339004,True,-0.09122835490891587,76,,,,,,,,,,,validation
~asp_mars_pluto_trine_orb3 & sun_sign_virgo,short,2,4,0.4013807419595506,12.041422258786518,30,0.30138074195955056,0.3213807419595506,2.351297621654682,0.6,,,5,22,0.3390476241249477,0.4637138597941536,True,0.14380622625849862,62,,,,,,,,,,,validation
asp_jupiter_venus_opp_orb3 & ~asp_mars_neptune_trine_orb5,short,2,4,0.4007992463530876,12.023977390592629,30,0.3007992463530876,0.3207992463530876,2.1940407931758514,0.6333333333333333,,,5,5,0.31421938424590723,0.5739589705674482,True,-0.14855224022653543,59,,,,,,,,,,,validation
asp_jupiter_venus_opp_orb3 & ~asp_mercury_uranus_conj_orb5,short,2,4,0.4007992463530876,12.023977390592629,30,0.3007992463530876,0.3207992463530876,2.1940407931758514,0.6333333333333333,,,5,4,0.31421938424590723,0.5739589705674482,True,-0.14855224022653543,59,,,,,,,,,,,validation
